k,context,next,probability
1,</s>,</s>,1.00000000
1,<s>,a,0.07255776
1,<s>,b,0.05249291
1,<s>,c,0.10194568
1,<s>,d,0.05593839
1,<s>,e,0.04671666
1,<s>,f,0.04306850
1,<s>,g,0.02867856
1,<s>,h,0.03293474
1,<s>,i,0.03891366
1,<s>,j,0.01266721
1,<s>,k,0.00982975
1,<s>,l,0.03759627
1,<s>,m,0.05583705
1,<s>,n,0.02280097
1,<s>,o,0.02269964
1,<s>,p,0.07934739
1,<s>,q,0.00456019
1,<s>,r,0.05877584
1,<s>,s,0.10052696
1,<s>,t,0.05492501
1,<s>,u,0.01256587
1,<s>,v,0.01874747
1,<s>,w,0.02888123
1,<s>,x,0.00081070
1,<s>,y,0.00415484
1,<s>,z,0.00202675
1,a,</s>,0.05469189
1,a,a,0.00112381
1,a,b,0.02472373
1,a,c,0.06031092
1,a,d,0.04420303
1,a,e,0.00149841
1,a,f,0.00749204
1,a,g,0.02697134
1,a,h,0.00393332
1,a,i,0.04083162
1,a,j,0.00056190
1,a,k,0.01105076
1,a,l,0.12099644
1,a,m,0.03952051
1,a,n,0.13504402
1,a,o,0.00131111
1,a,p,0.03146657
1,a,q,0.00187301
1,a,r,0.12736468
1,a,s,0.05712680
1,a,t,0.14553287
1,a,u,0.01554598
1,a,v,0.01479678
1,a,w,0.00655553
1,a,x,0.00318412
1,a,y,0.01873010
1,a,z,0.00355872
1,b,</s>,0.04402516
1,b,a,0.13926325
1,b,b,0.01347709
1,b,c,0.00718778
1,b,d,0.00269542
1,b,e,0.15184187
1,b,g,0.00089847
1,b,h,0.00179695
1,b,i,0.11500449
1,b,j,0.00808625
1,b,k,0.00089847
1,b,l,0.13117700
1,b,m,0.00988320
1,b,n,0.00269542
1,b,o,0.11320755
1,b,p,0.00269542
1,b,r,0.10062893
1,b,s,0.04312668
1,b,t,0.00628931
1,b,u,0.08715184
1,b,v,0.00179695
1,b,w,0.00179695
1,b,y,0.01347709
1,b,z,0.00089847
1,c,</s>,0.05590894
1,c,a,0.12085705
1,c,b,0.00066957
1,c,c,0.02109140
1,c,d,0.00301306
1,c,e,0.12922665
1,c,f,0.00066957
1,c,g,0.00066957
1,c,h,0.10445263
1,c,i,0.06427854
1,c,j,0.00033478
1,c,k,0.04887847
1,c,l,0.04184801
1,c,m,0.00100435
1,c,n,0.00167392
1,c,o,0.19250084
1,c,p,0.00100435
1,c,q,0.00167392
1,c,r,0.04318714
1,c,s,0.01372615
1,c,t,0.10177436
1,c,u,0.03816538
1,c,v,0.00066957
1,c,w,0.00033478
1,c,y,0.01171744
1,c,z,0.00066957
1,d,</s>,0.35358005
1,d,a,0.05872888
1,d,b,0.00241352
1,d,c,0.00281577
1,d,d,0.01448109
1,d,e,0.19589702
1,d,f,0.00160901
1,d,g,0.01045857
1,d,h,0.00201126
1,d,i,0.14360418
1,d,j,0.00281577
1,d,k,0.00040225
1,d,l,0.01246983
1,d,m,0.00603379
1,d,n,0.00362027
1,d,o,0.04465004
1,d,p,0.00201126
1,d,q,0.00040225
1,d,r,0.02855994
1,d,s,0.04625905
1,d,t,0.00362027
1,d,u,0.03419147
1,d,v,0.01126307
1,d,w,0.00442478
1,d,x,0.00040225
1,d,y,0.01327434
1,e,</s>,0.17217667
1,e,a,0.04932558
1,e,b,0.00634753
1,e,c,0.04258133
1,e,d,0.09058450
1,e,e,0.02314203
1,e,f,0.01243057
1,e,g,0.01243057
1,e,h,0.00238032
1,e,i,0.00581857
1,e,j,0.00026448
1,e,k,0.00211584
1,e,l,0.04853213
1,e,m,0.02948955
1,e,n,0.11134620
1,e,o,0.00502513
1,e,p,0.01653002
1,e,q,0.00476065
1,e,r,0.14705104
1,e,s,0.12338006
1,e,t,0.03649828
1,e,u,0.00357048
1,e,v,0.01586882
1,e,w,0.00965353
1,e,x,0.02221634
1,e,y,0.00595081
1,e,z,0.00052896
1,f,</s>,0.06448087
1,f,a,0.11038251
1,f,b,0.00109290
1,f,c,0.00327869
1,f,d,0.00218579
1,f,e,0.13224044
1,f,f,0.08306011
1,f,g,0.00218579
1,f,i,0.20874317
1,f,l,0.06557377
1,f,m,0.00109290
1,f,o,0.13770492
1,f,p,0.00109290
1,f,r,0.06775956
1,f,s,0.00655738
1,f,t,0.03278689
1,f,u,0.06448087
1,f,w,0.00218579
1,f,x,0.00109290
1,f,y,0.01202186
1,g,</s>,0.35550324
1,g,a,0.07180695
1,g,b,0.00235433
1,g,c,0.00117716
1,g,d,0.00176574
1,g,e,0.16127134
1,g,f,0.00117716
1,g,g,0.01353737
1,g,h,0.06180106
1,g,i,0.06003531
1,g,k,0.00058858
1,g,l,0.01942319
1,g,m,0.00470865
1,g,n,0.02942908
1,g,o,0.03531489
1,g,p,0.00294291
1,g,r,0.07769276
1,g,s,0.03649205
1,g,t,0.00882872
1,g,u,0.04002354
1,g,y,0.01353737
1,g,z,0.00058858
1,h,</s>,0.13111269
1,h,a,0.17292700
1,h,b,0.00283487
1,h,c,0.00141743
1,h,d,0.00425230
1,h,e,0.20623671
1,h,h,0.00070872
1,h,i,0.13253012
1,h,k,0.00070872
1,h,l,0.01133948
1,h,m,0.00708717
1,h,n,0.01133948
1,h,o,0.15875266
1,h,p,0.00212615
1,h,q,0.00141743
1,h,r,0.03047484
1,h,s,0.00992204
1,h,t,0.04961021
1,h,u,0.03756201
1,h,v,0.00070872
1,h,w,0.00354359
1,h,y,0.02126152
1,h,z,0.00212615
1,i,</s>,0.01677729
1,i,a,0.04701327
1,i,b,0.01567109
1,i,c,0.08370206
1,i,d,0.03207965
1,i,e,0.05235988
1,i,f,0.01696165
1,i,g,0.02949853
1,i,h,0.00018437
1,i,i,0.00184366
1,i,j,0.00110619
1,i,k,0.00479351
1,i,l,0.04904130
1,i,m,0.02912979
1,i,n,0.24280973
1,i,o,0.11098820
1,i,p,0.01991150
1,i,q,0.00147493
1,i,r,0.03042035
1,i,s,0.08093658
1,i,t,0.08222714
1,i,u,0.00350295
1,i,v,0.03392330
1,i,w,0.00018437
1,i,x,0.00405605
1,i,y,0.00018437
1,i,z,0.00921829
1,j,</s>,0.05084746
1,j,a,0.18079096
1,j,c,0.01129944
1,j,d,0.00564972
1,j,e,0.23163842
1,j,i,0.05084746
1,j,j,0.00564972
1,j,m,0.00564972
1,j,o,0.21468927
1,j,p,0.01694915
1,j,r,0.00564972
1,j,s,0.00564972
1,j,u,0.20903955
1,j,v,0.00564972
1,k,</s>,0.25388601
1,k,a,0.04490501
1,k,b,0.01036269
1,k,d,0.00345423
1,k,e,0.26770294
1,k,f,0.00690846
1,k,g,0.00518135
1,k,h,0.00345423
1,k,i,0.16234888
1,k,j,0.00345423
1,k,l,0.01899827
1,k,m,0.00518135
1,k,n,0.03626943
1,k,o,0.02072539
1,k,p,0.00345423
1,k,r,0.00690846
1,k,s,0.11053541
1,k,t,0.00518135
1,k,u,0.01036269
1,k,w,0.00172712
1,k,y,0.01899827
1,l,</s>,0.15168539
1,l,a,0.11610487
1,l,b,0.00436954
1,l,c,0.00436954
1,l,d,0.02528090
1,l,e,0.17759051
1,l,f,0.00530587
1,l,g,0.00280899
1,l,h,0.00031211
1,l,i,0.14450687
1,l,k,0.00593009
1,l,l,0.09394507
1,l,m,0.00468165
1,l,n,0.00218477
1,l,o,0.08895131
1,l,p,0.00499376
1,l,r,0.00093633
1,l,s,0.03245943
1,l,t,0.02746567
1,l,u,0.02996255
1,l,v,0.00749064
1,l,w,0.00093633
1,l,y,0.06772784
1,m,</s>,0.10185676
1,m,a,0.17718833
1,m,b,0.03395225
1,m,c,0.00318302
1,m,d,0.00106101
1,m,e,0.22758621
1,m,f,0.00212202
1,m,g,0.00106101
1,m,h,0.00106101
1,m,i,0.13315650
1,m,j,0.00053050
1,m,l,0.00318302
1,m,m,0.03607427
1,m,n,0.00318302
1,m,o,0.10291777
1,m,p,0.09814324
1,m,r,0.00159151
1,m,s,0.03129973
1,m,t,0.00212202
1,m,u,0.02493369
1,m,v,0.00053050
1,m,w,0.00159151
1,m,x,0.00053050
1,m,y,0.01114058
1,n,</s>,0.17463965
1,n,a,0.05723835
1,n,b,0.00188009
1,n,c,0.05306037
1,n,d,0.07436808
1,n,e,0.08606643
1,n,f,0.01002716
1,n,g,0.14560267
1,n,h,0.00229789
1,n,i,0.05640276
1,n,j,0.00208899
1,n,k,0.00981826
1,n,l,0.00501358
1,n,m,0.00271569
1,n,n,0.02026321
1,n,o,0.02757468
1,n,p,0.00083560
1,n,q,0.00104450
1,n,r,0.00167119
1,n,s,0.09525799
1,n,t,0.13724671
1,n,u,0.01211615
1,n,v,0.01107165
1,n,w,0.00125339
1,n,x,0.00020890
1,n,y,0.00919156
1,n,z,0.00104450
1,o,</s>,0.03318214
1,o,a,0.01456195
1,o,b,0.01384579
1,o,c,0.02912390
1,o,d,0.02697541
1,o,e,0.00501313
1,o,f,0.01002626
1,o,g,0.02148484
1,o,h,0.00238720
1,o,i,0.00954882
1,o,j,0.00143232
1,o,k,0.01336835
1,o,l,0.06708045
1,o,m,0.06469324
1,o,n,0.25447601
1,o,o,0.03580807
1,o,p,0.03461447
1,o,r,0.14370972
1,o,s,0.04129864
1,o,t,0.04344712
1,o,u,0.06564813
1,o,v,0.02339460
1,o,w,0.03055622
1,o,x,0.00477441
1,o,y,0.00763905
1,o,z,0.00190976
1,p,</s>,0.06993007
1,p,a,0.12387612
1,p,b,0.00149850
1,p,c,0.00349650
