Geography,Views,Watch time (hours),Average view duration
Total,6405533,459528.7007,0:04:18
US,2051031,150307.7515,0:04:23
GB,391009,28485.7717,0:04:22
IN,384596,19234.5098,0:03:00
DE,384489,32312.5724,0:05:02
CA,286245,21383.323,0:04:28
AU,193895,14803.8391,0:04:34
FR,147710,11325.5306,0:04:36
BR,140662,9939.4407,0:04:14
PL,137261,9995.7128,0:04:22
NL,134865,11318.3311,0:05:02
IT,103959,7426.5515,0:04:17
RU,96796,5761.3279,0:03:34
SE,90182,7849.8787,0:05:13
ES,89364,6133.9919,0:04:07
PH,62216,3323.9076,0:03:12
CH,61526,5171.1668,0:05:02
IL,56548,4418.4958,0:04:41
ID,49311,2591.909,0:03:09
SG,48679,3381.3009,0:04:10
AT,48537,4064.2637,0:05:01
DK,47340,4062.8824,0:05:08
CZ,47163,3930.3683,0:05:00
ZA,46760,3126.9264,0:04:00
BE,43407,3526.6981,0:04:52
RO,43250,3184.1473,0:04:25
NO,43164,3729.5177,0:05:11
FI,41204,3540.7137,0:05:09
TR,39190,2459.4999,0:03:45
MX,38309,2554.5254,0:04:00
HU,37595,2941.794,0:04:41
VN,36206,1991.5342,0:03:18
NZ,34890,2774.9236,0:04:46
PT,32649,2473.3818,0:04:32
UA,31804,2041.1047,0:03:51
AR,31491,2504.2708,0:04:46
JP,31082,2051.16,0:03:57
HK,31065,1936.7502,0:03:44
KR,29731,1309.7995,0:02:38
MY,27862,1503.82,0:03:14
GR,27838,1927.2928,0:04:09
TH,27087,1509.4991,0:03:20
IE,25839,1775.192,0:04:07
TW,22093,1256.8686,0:03:24
RS,16339,1144.9112,0:04:12
BD,15564,745.6121,0:02:52
PK,15528,693.7849,0:02:40
BG,15014,1214.3126,0:04:51
HR,14841,1054.0963,0:04:15
CL,13572,996.7263,0:04:24
SK,13050,950.3145,0:04:22
CO,11498,750.6126,0:03:55
AE,10558,637.5817,0:03:37
EG,10013,665.5785,0:03:59
LT,9260,686.9605,0:04:27
SI,9103,686.649,0:04:31
MA,8051,465.0905,0:03:27
SA,7447,471.4641,0:03:47
NP,7310,393.9338,0:03:14
EE,6236,517.89,0:04:58
KE,6010,385.7425,0:03:51
LV,5160,402.5051,0:04:40
NG,3740,208.2765,0:03:20
DZ,3593,215.5613,0:03:35
LK,3438,158.6701,0:02:46
BY,3224,189.4444,0:03:31
KZ,3010,205.944,0:04:06
PE,2973,198.4524,0:04:00
CN,2885,192.7992,0:04:00
GE,2668,193.9863,0:04:21
PR,2039,119.3157,0:03:30
CR,1940,136.0589,0:04:12
CY,1924,140.569,0:04:23
TN,1911,130.6174,0:04:06
UY,1802,147.5468,0:04:54
IS,1791,153.3012,0:05:08
BA,1722,105.9249,0:03:41
AM,1579,124.5193,0:04:43
LU,1483,120.6702,0:04:52
TT,1364,76.0055,0:03:20
MD,1349,81.3869,0:03:37
LB,1344,96.8236,0:04:19
DO,1158,69.9865,0:03:37
MK,1085,73.1268,0:04:02
VE,955,58.0166,0:03:38
IQ,895,51.6971,0:03:27
AL,805,54.1199,0:04:02
MM,783,27.9938,0:02:08
QA,771,42.5892,0:03:18
IR,721,54.5733,0:04:32
JO,700,44.3813,0:03:48
GH,680,32.2834,0:02:50
EC,667,44.1562,0:03:58
MU,639,28.1022,0:02:38
MT,636,46.5179,0:04:23
UZ,597,31.0985,0:03:07
JM,566,31.7564,0:03:21
KH,533,27.8845,0:03:08
PA,501,34.8766,0:04:10
KW,477,31.921,0:04:00
ET,355,19.5003,0:03:17
GT,317,19.5675,0:03:42
PY,280,20.1504,0:04:19
NA,255,10.8627,0:02:33
MV,252,13.4472,0:03:12
SY,251,14.3546,0:03:25
OM,239,13.1725,0:03:18
AZ,232,15.5358,0:04:01
UG,217,8.3566,0:02:18
ZW,211,10.5651,0:03:00
BO,209,11.0388,0:03:10
ME,209,16.5704,0:04:45
MN,196,13.0102,0:03:58
TZ,190,9.1337,0:02:53
BB,157,7.3557,0:02:48
BH,153,8.4359,0:03:18
ZM,135,6.3118,0:02:48
MO,130,7.8261,0:03:36
KG,122,8.7931,0:04:19
GU,105,4.0701,0:02:19
BN,100,3.6869,0:02:12
BW,92,3.8805,0:02:31
HN,92,5.2107,0:03:23
IM,91,6.304,0:04:09
BS,90,4.3901,0:02:55
CM,55,1.2917,0:01:24
RW,53,4.0509,0:04:35
MZ,50,3.2682,0:03:55
CU,47,6.4421,0:08:13
JE,46,2.1421,0:02:47
SV,42,3.3977,0:04:51
BZ,38,1.0653,0:01:40
GY,38,1.725,0:02:43
SR,37,1.1399,0:01:50
LY,36,1.7596,0:02:55
NI,34,1.5589,0:02:45
SD,31,1.2461,0:02:24
AO,30,1.6333,0:03:15
PS,25,1.7074,0:04:05
RE,22,1.0759,0:02:56
FO,21,1.5032,0:04:17
MW,15,0.8902,0:03:33
AG,12,0.8926,0:04:27
AW,11,0.6739,0:03:40
GL,10,1.5985,0:09:35
LC,10,0.5284,0:03:10
