Date,Views
2021-08-22,10
2021-08-23,6
2021-08-24,53
2021-08-25,24
2021-08-26,16
2021-08-27,7
2021-08-28,5
2021-08-29,5
2021-08-30,12
2021-08-31,5
2021-09-01,1
2021-09-02,0
2021-09-03,1
2021-09-04,0
2021-09-05,0
2021-09-06,5
2021-09-07,1
2021-09-08,1
2021-09-09,0
2021-09-10,0
2021-09-11,0
2021-09-12,4
2021-09-13,2
2021-09-14,2
2021-09-15,0
2021-09-16,1
2021-09-17,2
2021-09-18,0
2021-09-19,3
2021-09-20,4
2021-09-21,1
2021-09-22,2
2021-09-23,22
2021-09-24,21
2021-09-25,5
2021-09-26,6
2021-09-27,4
2021-09-28,9
2021-09-29,2
2021-09-30,4
2021-10-01,2
2021-10-02,6
2021-10-03,9
2021-10-04,4
2021-10-05,3
2021-10-06,2
2021-10-07,11
2021-10-08,7
2021-10-09,5
2021-10-10,15
2021-10-11,17
2021-10-12,20
2021-10-13,16
2021-10-14,11
2021-10-15,16
2021-10-16,15
2021-10-17,41
2021-10-18,12
2021-10-19,56
2021-10-20,48
2021-10-21,89
2021-10-22,175
2021-10-23,159
2021-10-24,173
2021-10-25,99
2021-10-26,113
2021-10-27,94
2021-10-28,50
2021-10-29,69
2021-10-30,91
2021-10-31,75
2021-11-01,143
2021-11-02,100
2021-11-03,120
2021-11-04,299
2021-11-05,284
2021-11-06,295
2021-11-07,259
2021-11-08,90
2021-11-09,84
2021-11-10,169
2021-11-11,168
2021-11-12,112
2021-11-13,81
2021-11-14,37
2021-11-15,89
2021-11-16,83
2021-11-17,126
2021-11-18,231
2021-11-19,284
2021-11-20,132
2021-11-21,143
2021-11-22,221
2021-11-23,217
2021-11-24,140
2021-11-25,95
2021-11-26,76
2021-11-27,89
2021-11-28,124
2021-11-29,49
2021-11-30,40
2021-12-01,43
2021-12-02,80
2021-12-03,65
2021-12-04,50
2021-12-05,9
2021-12-06,6
2021-12-07,6
2021-12-08,13
2021-12-09,6
2021-12-10,4
2021-12-11,8
2021-12-12,4
2021-12-13,11
2021-12-14,3
2021-12-15,13
2021-12-16,5
2021-12-17,11
2021-12-18,4
2021-12-19,10
2021-12-20,5
2021-12-21,4
2021-12-22,4
2021-12-23,0
2021-12-24,7
2021-12-25,5
2021-12-26,5
2021-12-27,8
2021-12-28,5
2021-12-29,7
2021-12-30,5
2021-12-31,3
2022-01-01,5
2022-01-02,8
2022-01-03,1
2022-01-04,4
2022-01-05,5
2022-01-06,3
2022-01-07,4
2022-01-08,7
2022-01-09,1
2022-01-10,5
2022-01-11,3
2022-01-12,1
2022-01-13,2
2022-01-14,2
2022-01-15,12
2022-01-16,10
2022-01-17,2
2022-01-18,3
2022-01-19,4
2022-01-20,6
2022-01-21,4
2022-01-22,2
2022-01-23,10
2022-01-24,2
2022-01-25,2
2022-01-26,3
2022-01-27,0
2022-01-28,0
2022-01-29,6
2022-01-30,2
2022-01-31,2
2022-02-01,0
2022-02-02,2
2022-02-03,3
2022-02-04,2
2022-02-05,55
2022-02-06,160
2022-02-07,101
2022-02-08,38
2022-02-09,25
2022-02-10,23
2022-02-11,16
2022-02-12,4
2022-02-13,31
2022-02-14,42
2022-02-15,16
2022-02-16,20
2022-02-17,21
2022-02-18,6
2022-02-19,12
2022-02-20,10
2022-02-21,6
2022-02-22,12
2022-02-23,9
2022-02-24,7
2022-02-25,2
2022-02-26,8
2022-02-27,14
2022-02-28,9
2022-03-01,11
2022-03-02,8
2022-03-03,15
2022-03-04,21
2022-03-05,8
2022-03-06,12
2022-03-07,10
2022-03-08,11
2022-03-09,9
2022-03-10,18
2022-03-11,5
2022-03-12,1
2022-03-13,13
2022-03-14,6
2022-03-15,11
2022-03-16,4
2022-03-17,5
2022-03-18,3
2022-03-19,10
2022-03-20,4
2022-03-21,2
2022-03-22,4
2022-03-23,5
2022-03-24,8
2022-03-25,7
2022-03-26,5
2022-03-27,3
2022-03-28,3
2022-03-29,3
2022-03-30,2
2022-03-31,1
2022-04-01,8
2022-04-02,1
2022-04-03,7
2022-04-04,3
2022-04-05,5
2022-04-06,9
2022-04-07,8
2022-04-08,8
2022-04-09,9
2022-04-10,4
2022-04-11,15
2022-04-12,9
2022-04-13,34
2022-04-14,15
2022-04-15,16
2022-04-16,16
2022-04-17,15
2022-04-18,16
2022-04-19,17
2022-04-20,9
2022-04-21,6
2022-04-22,3
2022-04-23,3
2022-04-24,2
2022-04-25,5
2022-04-26,10
2022-04-27,9
2022-04-28,5
2022-04-29,3
2022-04-30,3
2022-05-01,2
2022-05-02,13
2022-05-03,8
2022-05-04,5
2022-05-05,6
2022-05-06,3
2022-05-07,6
2022-05-08,9
2022-05-09,3
2022-05-10,2
2022-05-11,1
2022-05-12,6
2022-05-13,1
2022-05-14,4
2022-05-15,4
2022-05-16,5
2022-05-17,5
2022-05-18,2
2022-05-19,8
2022-05-20,9
2022-05-21,5
2022-05-22,35
2022-05-23,10
2022-05-24,9
2022-05-25,12
2022-05-26,4
2022-05-27,2
2022-05-28,2
2022-05-29,5
2022-05-30,5
2022-05-31,5
2022-06-01,5
2022-06-02,3
2022-06-03,2
2022-06-04,4
2022-06-05,2
2022-06-06,3
2022-06-07,4
2022-06-08,6
2022-06-09,16
2022-06-10,11
2022-06-11,2
2022-06-12,4
2022-06-13,5
2022-06-14,7
2022-06-15,5
2022-06-16,5
2022-06-17,9
2022-06-18,4
2022-06-19,1
2022-06-20,2
2022-06-21,3
2022-06-22,10
2022-06-23,3
2022-06-24,2
2022-06-25,2
2022-06-26,5
2022-06-27,7
2022-06-28,2
2022-06-29,3
2022-06-30,4
2022-07-01,0
2022-07-02,3
2022-07-03,9
2022-07-04,12
2022-07-05,0
2022-07-06,4
2022-07-07,4
2022-07-08,7
2022-07-09,5
2022-07-10,8
2022-07-11,3
2022-07-12,5
2022-07-13,3
2022-07-14,0
2022-07-15,6
